unit,isced97,hlth_pb,sex,age,time,geo,value
THS,ED3_4,PB1071,F,TOTAL,2011,BE ,1099.455
THS,ED3_4,PB1071,M,TOTAL,2011,BE ,1233.453
THS,ED3_4,PB1071,T,TOTAL,2011,BE ,2332.908
THS,ED3_4,PB1071,F,Y15-24,2011,BE ,265.738
THS,ED3_4,PB1071,M,Y15-24,2011,BE ,235.468
THS,ED3_4,PB1071,T,Y15-24,2011,BE ,501.206
THS,ED3_4,PB1071,F,Y25-34,2011,BE ,210.268
THS,ED3_4,PB1071,M,Y25-34,2011,BE ,297.852
THS,ED3_4,PB1071,T,Y25-34,2011,BE ,508.12
THS,ED3_4,PB1071,F,Y35-44,2011,BE ,221.789
THS,ED3_4,PB1071,M,Y35-44,2011,BE ,291.603
THS,ED3_4,PB1071,T,Y35-44,2011,BE ,513.392
THS,ED3_4,PB1071,F,Y45-54,2011,BE ,235.823
THS,ED3_4,PB1071,M,Y45-54,2011,BE ,251.583
THS,ED3_4,PB1071,T,Y45-54,2011,BE ,487.406
THS,ED3_4,PB1071,F,Y55-64,2011,BE ,165.837
THS,ED3_4,PB1071,M,Y55-64,2011,BE ,156.947
THS,ED3_4,PB1071,T,Y55-64,2011,BE ,322.783
THS,ED3_4,TOTAL,F,TOTAL,2011,BE ,1266.05
THS,ED3_4,TOTAL,M,TOTAL,2011,BE ,1366.392
THS,ED3_4,TOTAL,T,TOTAL,2011,BE ,2632.441
THS,ED3_4,TOTAL,F,Y15-24,2011,BE ,272.647
THS,ED3_4,TOTAL,M,Y15-24,2011,BE ,240.967
THS,ED3_4,TOTAL,T,Y15-24,2011,BE ,513.614
THS,ED3_4,TOTAL,F,Y25-34,2011,BE ,234.949
THS,ED3_4,TOTAL,M,Y25-34,2011,BE ,315.45
THS,ED3_4,TOTAL,T,Y25-34,2011,BE ,550.399
THS,ED3_4,TOTAL,F,Y35-44,2011,BE ,260.812
THS,ED3_4,TOTAL,M,Y35-44,2011,BE ,320.356
