unit,isced97,hlth_pb,age,sex,time\geo	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	IS 	CH 	UK 	TR 
THS,TOTAL,PB1071,Y45-54,F,2011	613.173 	443.715 	564.462 	289.347 	3837.995 	77.395 	257.575 	648.815 	2623.582 	3218.211 	299.131 	3704.049 	48.56 	130.784 	202.626 	27.634 	532.229 	24.547 	988.538 	523.948 	2218.437 	562.329 	1066.108 	107.604 	316.476 	280.323 	469.053 	14.183 	456.649 	3546.917 	2740.649 
THS,TOTAL,PB1071,Y45-54,M,2011	668.318 	454.992 	605.363 	328.66 	3881.799 	69.896 	257.022 	648.304 	2721.725 	3348.299 	271.028 	3742.719 	46.713 	121.697 	187.457 	32.311 	515.705 	26.069 	1087.739 	543.525 	2148.242 	594.957 	1112.851 	118.67 	315.463 	295.533 	532.346 	15.366 	509.611 	3629.256 	3258.003 
THS,TOTAL,PB1071,Y45-54,T,2011	1281.491 	898.706 	1169.825 	618.007 	7719.794 	147.291 	514.597 	1297.119 	5345.307 	6566.51 	570.159 	7446.768 	95.273 	252.481 	390.083 	59.946 	1047.933 	50.616 	2076.278 	1067.473 	4366.68 	1157.287 	2178.959 	226.275 	631.939 	575.855 	1001.399 	29.548 	966.26 	7176.174 	5998.651 
THS,TOTAL,PB1071,Y55-64,F,2011	491.285 	418.282 	590.29 	241.131 	2765.238 	58.742 	191.323 	475.615 	1783.101 	2865.264 	279.307 	2869.303 	32.664 	98.14 	136.724 	18.265 	496.801 	22.602 	781.186 	323.494 	1964.391 	343.513 	807.998 	74.228 	247.213 	244.118 	422.15 	9.676 	326.646 	2791.911 	1445.441 
THS,TOTAL,PB1071,Y55-64,M,2011	480.628 	389.602 	540.831 	264.668 	2558.753 	47.553 	182.818 	472.876 	1746.366 	2629.368 	244.479 	2847.551 	35.428 	82.22 	109.682 	21.279 	431.285 	22.796 	838.944 	290.502 	1706.503 	390.174 	809.404 	72.001 	232.266 	251.043 	477.811 	11.568 	360.217 	2653.085 	1832.576 
THS,TOTAL,PB1071,Y55-64,T,2011	971.914 	807.884 	1131.121 	505.799 	5323.992 	106.294 	374.142 	948.492 	3529.467 	5494.632 	523.786 	5716.854 	68.092 	180.361 	246.405 	39.544 	928.087 	45.398 	1620.129 	613.996 	3670.894 	733.686 	1617.403 	146.229 	479.479 	495.162 	899.961 	21.244 	686.863 	5444.996 	3278.017 
THS,TOTAL,TOTAL,TOTAL,F,2011	3450.19 	2425.09 	3580.39 	1795.384 	23102.026 	468.97 	1529.549 	3241.576 	14516.176 	20134.116 	1390.83 	18437.465 	298.115 	719.835 	1057.193 	170.451 	3398.088 	141.99 	5475.253 	2836.877 	12945.877 	3578.974 	7376.012 	691.607 	1928.744 	1700.708 	3004.952 	98.737 	2644.337 	19964.573 	24289.303 
THS,TOTAL,TOTAL,TOTAL,M,2011	3500.459 	2438.551 	3653.94 	1818.788 	23108.652 	433.982 	1518.419 	3265.907 	14588.144 	19430.113 	1340.204 	18300.269 	271.556 	661.862 	983.208 	174.813 	3294.419 	147.153 	5515.356 	2813.418 	12878.191 	3517.84 	7246.067 	730.915 	1936.196 	1708.912 	3105.792 	100.65 	2673.463 	19775.91 	24011.568 
THS,TOTAL,TOTAL,TOTAL,T,2011	6950.649 	4863.642 	7234.329 	3614.172 	46210.678 	902.952 	3047.968 	6507.483 	29104.321 	39564.229 	2731.034 	36737.734 	569.671 	1381.697 	2040.401 	345.265 	6692.507 	289.143 	10990.609 	5650.295 	25824.068 	7096.814 	14622.079 	1422.522 	3864.941 	3409.62 	6110.744 	199.387 	5317.8 	39740.483 	48300.871 
THS,TOTAL,TOTAL,Y15-24,F,2011	620.958 	403.958 	601.538 	335.96 	4016.457 	87.389 	286.313 	489.833 	1977.551 	3710.988 	234.793 	2727.156 	55.179 	134.697 	209.842 	29.564 	587.998 	27.648 	990.366 	496.671 	2365.962 	560.16 	1378.264 	108.67 	366.861 	308.268 	607.458 	19.903 	452.804 	3478.039 	5887.285 
